,reactant_1_name,reactant_1_mass,reactant_1_charge,reactant_1_hform,reactant_1_hform_neutral,reactant_1_polarizability,reactant_1_dipole_moment,reactant_2_name,reactant_2_mass,reactant_2_charge,reactant_2_hform,reactant_2_hform_neutral,reactant_2_polarizability,reactant_2_dipole_moment,product_1_name,product_1_mass,product_1_charge,product_1_hform,product_1_hform_neutral,product_1_polarizability,product_1_dipole_moment,product_2_name,product_2_mass,product_2_charge,product_2_hform,product_2_hform_neutral,product_2_polarizability,product_2_dipole_moment,exchanged_mass,exchanged_atoms,lhs_mu,rhs_mu,lhs_charge_00,lhs_charge_+0,lhs_charge_+-,rhs_charge_00,rhs_charge_+0,reactant_1_blocks_s,reactant_1_blocks_p,reactant_2_blocks_s,reactant_2_blocks_p,product_1_blocks_s,product_1_blocks_p,product_2_blocks_s,product_2_blocks_p,exchanged_blocks_s,exchanged_blocks_p,reactant_1_groups_IA,reactant_1_groups_IVA,reactant_1_groups_VA,reactant_1_groups_VIA,reactant_1_groups_VIIA,reactant_2_groups_IA,reactant_2_groups_IVA,reactant_2_groups_VA,reactant_2_groups_VIA,reactant_2_groups_VIIA,product_1_groups_IA,product_1_groups_IVA,product_1_groups_VA,product_1_groups_VIA,product_1_groups_VIIA,product_2_groups_IA,product_2_groups_IVA,product_2_groups_VA,product_2_groups_VIA,product_2_groups_VIIA,exchanged_groups_IA,exchanged_groups_IVA,exchanged_groups_VA,exchanged_groups_VIA,exchanged_groups_VIIA
1824,CH,13.018999999999998,0,595.8,595.8,2.12,1.394,N+,14.007,1,1881.903,472.68,0.46,0.0,N,14.007,0,472.68,472.68,1.1,0.0,CH+,13.018999999999998,1,1630.571,595.8,1.07,-1.479,0.0,0.0,6.747470324872345,6.747470324872345,0.0,1.0,0.0,0.0,1.0,1,1,0,1,0,1,1,1,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
409,H+,1.008,1,1536.244,217.998,,0.0,CH3NCO,57.052,0,,,,,H,1.008,0,217.998,217.998,0.6667,0.0,CH3NCO+,57.052,1,,,,,0.0,0.0,0.9904997588701343,0.9904997588701343,0.0,1.0,0.0,0.0,1.0,1,0,3,4,1,0,3,4,0.0,0.0,1,0,0,0,0,3,2,1,1,0,1,0,0,0,0,3,2,1,1,0,0.0,0.0,0.0,0.0,0.0
4506,C2H2,26.038,0,228.2,228.2,3.487,0.0,C4H,49.052,0,780.0,780.0,7.151,0.866,H,1.008,0,217.998,217.998,0.6667,0.0,C6H2,74.08200000000001,0,700.82,700.82,11.946,0.0,48.044,4.0,17.009135384205617,0.9944687175389534,1.0,0.0,0.0,1.0,0.0,2,2,1,4,1,0,2,6,0.0,4.0,2,2,0,0,0,1,4,0,0,0,1,0,0,0,0,2,6,0,0,0,0.0,4.0,0.0,0.0,0.0
4012,C2+,24.022,1,1980.05,826.799,4.597,0.0,D2,4.0282035562,0,0.0,0.0,,,C2D+,26.0361017781,1,,,,,D,2.0141017781,0,221.717,221.717,,,2.0141017781,1.0,3.4497256190373746,1.8694822938093438,0.0,1.0,0.0,0.0,1.0,0,2,2,0,1,2,1,0,1.0,0.0,0,2,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
3657,H2O+,18.015,1,981.806,-241.826,0.649,-2.28,CH3Br,94.939,0,-36.28,-36.28,,,CH3Br+,94.939,1,981.32,-36.28,,,H2O,18.015,0,-241.826,-241.826,1.501,1.8546,0.0,0.0,15.141792986525488,15.141792986525488,0.0,1.0,0.0,0.0,1.0,2,1,3,2,3,2,2,1,0.0,0.0,2,0,0,1,0,3,1,0,0,1,3,1,0,0,1,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0
2286,CH2,14.027,0,391.2,391.2,1.552,-0.712,CH3+,15.035,1,1101.792,146.7,1.178,0.0,C2H3+,27.046,1,1122.34,296.58,2.315,1.128,H2,2.016,0,0.0,0.0,0.787,0.0,12.011,1.0,7.256759514142179,1.8761522262748607,0.0,1.0,0.0,0.0,1.0,2,1,3,1,3,2,2,0,0.0,1.0,2,1,0,0,0,3,1,0,0,0,3,2,0,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0
1679,C+,12.011,1,1809.444,716.67,0.776,0.0,C6H-,73.074,-1,,1000.0,,,C,12.011,0,716.67,716.67,1.76,0.0,C6H,73.074,0,1000.0,1000.0,13.679,5.601,0.0,0.0,10.31547057648234,10.31547057648234,0.0,0.0,1.0,1.0,0.0,0,1,1,6,0,1,1,6,0.0,0.0,0,1,0,0,0,1,6,0,0,0,0,1,0,0,0,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0
8935,C8,96.088,0,1458.866,1458.866,23.959,0.0,H3+,3.024,1,1112.89,218.3,0.401,0.0,H2,2.016,0,0.0,0.0,0.787,0.0,C8H+,97.096,1,,1230.0,,,1.008,1.0,2.93173492614416,1.9749933005085156,0.0,1.0,0.0,0.0,1.0,0,8,3,0,2,0,1,8,1.0,0.0,0,8,0,0,0,3,0,0,0,0,2,0,0,0,0,1,8,0,0,0,1.0,0.0,0.0,0.0,0.0
1424,C+,12.011,1,1809.444,716.67,0.776,0.0,CH2CCH,39.057,0,348.427,348.427,5.062,-0.073,C3H3+,39.057,1,1088.0,348.427,3.27,-0.401,C,12.011,0,716.67,716.67,1.76,0.0,0.0,0.0,9.186058333986058,9.186058333986058,0.0,1.0,0.0,0.0,1.0,0,1,3,3,3,3,0,1,0.0,0.0,0,1,0,0,0,3,3,0,0,0,3,3,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
6912,Ar+,39.95,1,1520.58,0.0,,,N2O,44.013,0,81.6,81.6,2.998,0.16083,Ar,39.95,0,0.0,0.0,,,N2O+,44.013,1,1326.78,81.6,,,0.0,0.0,20.94159748937032,20.94159748937032,0.0,1.0,0.0,0.0,1.0,0,1,0,3,0,1,0,3,0.0,0.0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0
